Ativos,Passivos,Patrimônio Líquido
647338.32,880095.73,-232757.41000000003
641119.05,307618.73,333500.32000000007
510098.27,828941.13,-318842.86
260066.28,964829.41,-704763.13
709220.11,723908.18,-14688.070000000065
957638.19,899026.14,58612.04999999993
185314.68,129100.7,56213.979999999996
383505.5,941302.05,-557796.55
675840.81,210083.69,465757.12000000005
198243.19,748097.22,-549854.03
710127.37,994121.03,-283993.66000000003
659046.87,838840.3,-179793.43000000005
393156.68,538601.97,-145445.28999999998
