Ativos,Passivos,Patrimônio Líquido
575506.75,939628.57,-364121.81999999995
105725.49,343870.63,-238145.14
641912.54,365562.79,276349.75000000006
713340.63,632938.89,80401.73999999999
944348.08,483549.01,460799.06999999995
682439.93,377845.54,304594.3900000001
479548.68,729449.11,-249900.43
456379.83,941088.52,-484708.69
749872.53,309271.56,440600.97000000003
541085.34,192390.94,348694.39999999997
257285.15,477659.46,-220374.31000000003
410376.1,723776.64,-313400.54000000004
566003.2,315872.99,250130.20999999996
706041.76,131108.12,574933.64
516088.55,898931.63,-382843.08
