Ativos,Passivos,Patrimônio Líquido
545615.91,717259.86,-171643.94999999995
479745.35,632754.54,-153009.19000000006
956140.14,252731.45,703408.69
913541.85,342971.76,570570.09
392457.91,934185.08,-541727.1699999999
596526.36,517436.45,79089.90999999997
695454.28,194239.27,501215.01
306171.8,780507.53,-474335.73000000004
901727.91,823478.42,78249.48999999999
820213.71,282414.94,537798.77
168802.37,879881.17,-711078.8
961431.85,362981.56,598450.29
491613.1,692118.77,-200505.67000000004
445319.48,939544.93,-494225.45000000007
110099.98,177766.91,-67666.93000000001
