Ativos,Passivos,Patrimônio Líquido
805053.37,522595.4,282457.97
820497.29,927069.8,-106572.51000000001
873821.0,324416.57,549404.4299999999
396690.18,172605.83,224084.35
461011.33,422054.04,38957.29000000004
144010.73,472608.7,-328597.97
675618.73,636355.1,39263.630000000005
819897.88,576115.27,243782.61
382993.75,739847.06,-356853.31000000006
161700.1,571575.06,-409874.9600000001
600526.26,856992.39,-256466.13
159596.65,269023.35,-109426.69999999998
910615.57,941609.42,-30993.850000000093
273368.99,708139.93,-434770.94000000006
189296.18,881548.38,-692252.2
