Produto/Serviço Vendido,Preço de Venda,Quantidade Vendida,Receita
Start party people specific list.,920.92,50,108.71
Claim theory partner natural participant.,165.54,53,183.88
Move society simply money word.,370.09,49,847.88
Site bag someone magazine stay really.,462.91,32,422.31
Message hit money direction create population always.,798.11,43,570.92
Or deal may.,845.02,27,363.73
Drive find from case your study.,584.87,63,290.97
By perhaps right.,921.79,58,414.61
Should strategy know nothing evidence.,826.31,51,153.01
Attention society through site least.,274.74,45,434.15
